target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=81.198.165.17,35237,108.402805,18.46394,17.497815,17.75691,17.928155,,,,,
targetIP=95.101.132.49,35233,37.841985,32.644415,31.79627,30.659095,39.71076,,,,,
targetIP=184.150.154.51,35230,16.263095,16.12825,16.003795,15.565395,15.67155,,,,,
targetIP=222.165.168.200,35547,6.833135,3.63932,3.772625,3.65294,3.71542,,,,,
targetIP=88.221.134.58,35239,6.3205,6.149105,6.270085,6.422835,5.90583,,,,,
targetIP=88.221.254.208,11540,11.995745,13.06613,11.785035,15.427515,14.81502,,,,,
targetIP=88.221.218.143,28991,6.86707,6.515395,7.567805,22.429635,8.490545,,,,,
targetIP=92.123.72.7,19397,17.086575,35.667905,23.80817,32.64124,16.39113,,,,,
targetIP=2.16.103.218,19396,1.90413,1.801285,1.757155,1.8132,1.869795,,,,,
targetIP=23.58.223.138,19395,92.565805,92.61624,92.5349,92.640015,92.608045,,,,,
targetIP=92.122.48.33,19394,9.448355,9.360195,9.409135,9.335405,9.411655,,,,,
targetIP=194.230.81.139,19393,1.753915,1.506695,1.486625,1.57076,1.484945,,,,,
targetIP=2.21.74.17,19391,14.306855,14.7514,14.334175,13.908685,14.13026,,,,,
targetIP=134.17.0.112,22260,3.917145,3.80628,3.762515,3.792115,3.812885,,,,,
targetIP=23.34.62.58,25060,29.39342,26.31247,25.861745,26.11637,26.439335,,,,,
targetIP=88.221.134.58,25067,0.821425,0.71683,0.713835,0.69631,0.716625,,,,,
targetIP=23.43.56.208,25069,27.989425,27.2927,26.110715,25.504425,24.68696,,,,,
targetIP=2.22.8.106,27376,18.249605,14.637455,20.27131,16.51705,17.189075,,,,,
targetIP=82.216.34.26,27304,8.66969,8.90716,8.51471,7.552885,8.394435,,,,,
targetIP=2.21.98.217,25283,16.282775,16.25948,16.226275,16.256585,16.267375,,,,,
targetIP=123.63.250.154,25280,56.385575,56.723945,56.533175,56.3268,56.29169,,,,,
targetIP=2.22.22.208,25281,11.74705,10.844525,10.677125,11.39049,10.892345,,,,,
targetIP=203.152.100.200,19971,0.667115,0.517665,0.50607,0.49398,0.5066,,,,,
targetIP=132.147.115.11,19970,2.17513,1.810105,1.694725,1.62553,1.7562,,,,,
targetIP=23.214.196.24,274,8.159234,8.22989,7.89581,8.083202,8.240642,,,,,
targetIP=95.101.72.217,16256,26.25549,25.757515,24.526275,25.17793,24.367655,,,,,
targetIP=2.21.89.32,19975,85.108425,85.0314,85.10548,85.22215,85.07455,,,,,
targetIP=2.16.186.17,277,10.30349,10.266626,9.956354,10.121474,9.933314,,,,,
targetIP=2.18.244.145,32019,50.003505,53.707155,52.720725,52.744475,49.806925,,,,,
targetIP=80.239.148.79,16706,3.342015,3.05432,3.017685,3.00368,3.11891,,,,,
targetIP=2.21.74.11,16701,0.82621,0.75305,0.7779,0.765135,0.7658,,,,,
targetIP=95.101.182.106,16703,21.333115,21.535815,20.91867,21.144355,21.48059,,,,,
targetIP=92.122.122.144,22487,10.708335,9.360365,9.41322,9.502175,9.367585,,,,,
targetIP=2.22.112.178,22480,12.345625,11.964125,12.294535,11.95886,12.096845,,,,,
targetIP=2.22.22.209,12015,8.40217,8.34988,8.342265,8.47997,8.38637,,,,,
targetIP=104.93.82.34,12014,50.015855,49.370855,50.28061,50.45199,50.14093,,,,,
targetIP=2.21.89.35,12017,10.62382,10.012715,10.053955,10.80166,9.587265,,,,,
targetIP=23.74.28.42,12016,8.479045,14.649225,9.65643,9.181675,8.89072,,,,,
targetIP=23.219.92.88,12012,16.94095,16.852725,16.65887,17.115545,17.70317,,,,,
targetIP=45.121.219.210,6347,25.1869,25.196177,25.173377,25.119539,25.132225,,,,,
targetIP=88.221.235.147,17250,34.60967,32.52588,33.37739,32.47031,32.46137,,,,,
targetIP=2.22.112.178,24883,1.41292,1.29099,1.32683,1.311085,1.284195,,,,,
targetIP=194.230.81.139,24882,4.99629,4.81206,4.84147,4.848525,4.918765,,,,,
targetIP=23.62.12.40,24887,10.554375,1.01482,0.985185,0.997645,0.97155,,,,,
targetIP=2.17.123.162,24886,8.58923,8.79109,8.43109,7.801205,8.607725,,,,,
targetIP=23.204.102.24,21614,12.076635,11.070195,11.63589,12.34794,12.32688,,,,,
targetIP=88.221.134.58,24889,16.36973,15.6605,15.729945,16.137215,16.13905,,,,,
targetIP=88.221.144.145,26023,10.41126,10.19883,10.235575,10.25304,10.20017,,,,,
targetIP=88.221.254.192,26028,10.018775,10.41693,10.23809,10.65677,9.79739,,,,,
targetIP=2.20.188.123,22873,6.77322,6.40309,6.841805,6.57529,6.690325,,,,,
targetIP=95.101.72.210,24081,1.75951,1.737685,1.72042,1.663825,1.71136,,,,,
targetIP=88.221.134.58,3513,14.149635,14.280195,13.875459,14.402307,14.268675,,,,,
targetIP=206.40.110.247,3517,16.924419,1.37088,1.341696,1.36704,1.35936,,,,,
targetIP=95.101.72.11,3515,17.673988,8.39501,8.413442,8.41037,8.445698,,,,,
targetIP=23.14.85.10,2685,13.807875,11.215107,11.126018,11.064578,11.04077,,,,,
targetIP=88.221.134.58,2681,11.404035,11.483138,11.177474,11.340291,11.076867,,,,,
targetIP=62.101.36.199,2682,6.99341,3.753985,3.712513,3.755521,3.958273,,,,,
targetIP=2.22.55.72,2683,16.876036,19.001091,15.209475,13.114371,17.309188,,,,,
targetIP=23.49.60.136,14626,1.832185,1.700335,1.68388,1.783725,1.780515,,,,,
targetIP=23.216.7.163,14629,20.296695,20.13743,20.018455,20.077295,20.027875,,,,,
targetIP=128.139.199.8,99,7.716097,1.693441,1.713409,1.690369,1.751041,,,,,
targetIP=210.7.43.171,93,17.588739,15.149571,15.096579,15.134979,15.055875,,,,,
targetIP=95.101.1.72,92,3.128065,3.022081,3.143425,5.157121,3.049729,,,,,
targetIP=95.101.1.82,94,6.471938,6.401281,6.227713,6.177793,5.961985,,,,,
targetIP=23.204.103.51,97,43.858185,44.395017,44.441097,43.970313,44.169993,,,,,
targetIP=23.64.15.89,30411,13.844635,12.798235,11.711495,13.374335,12.352035,,,,,
targetIP=92.122.48.27,30410,0.655525,0.537315,0.515435,0.479755,0.472235,,,,,
targetIP=92.123.155.32,30413,13.022255,12.934955,12.936765,12.953455,12.97848,,,,,
targetIP=104.103.72.67,30414,3.936115,3.7423,3.810075,3.795505,3.61951,,,,,
targetIP=2.20.248.50,30419,19.62791,17.784715,17.44892,17.44498,17.106515,,,,,
targetIP=92.123.140.105,13050,10.56811,10.39529,10.26722,10.453505,9.934725,,,,,
targetIP=72.166.126.10,13056,17.04124,20.594995,13.65281,13.17981,19.97048,,,,,
targetIP=185.48.240.224,13055,34.286065,34.146215,34.15089,34.136055,34.14792,,,,,
targetIP=88.221.235.155,33507,2.951565,2.826795,2.812245,2.8165,2.817475,,,,,
targetIP=23.65.180.65,18700,21.33277,21.22778,21.200775,21.16133,21.17872,,,,,
targetIP=80.239.247.28,33854,14.53447,14.2767,14.424415,14.53253,14.035315,,,,,
targetIP=2.21.89.32,33855,0.52039,0.427755,0.393375,0.438695,0.399825,,,,,
targetIP=23.62.157.110,33856,1.448735,1.17845,1.158535,1.22782,1.14256,,,,,
targetIP=200.2.124.106,33508,3.78831,0.408695,0.410645,0.389835,0.39113,,,,,
targetIP=179.31.48.40,17826,5.85218,5.42759,5.426965,6.350215,4.13819,,,,,
targetIP=23.64.15.67,17825,7.60928,6.75753,6.958815,7.35132,7.664185,,,,,
targetIP=23.6.199.105,17822,15.289965,15.53737,12.66352,14.03075,13.985815,,,,,
targetIP=14.200.100.105,20252,4.36074,4.179395,4.14142,4.165045,4.171515,,,,,
targetIP=104.72.70.10,20253,96.3886,124.59735,29.878415,112.14577,147.41779,,,,,
targetIP=2.22.8.106,20250,8.925565,8.459165,8.43543,8.269315,8.313035,,,,,
targetIP=23.62.226.162,29817,135.8427,135.57317,149.34767,135.47893,135.413395,,,,,
targetIP=2.20.188.10,29764,27.001995,26.686625,26.297015,26.553885,26.370605,,,,,
targetIP=23.212.50.84,29814,23.939735,23.199245,23.13233,23.320825,23.034555,,,,,
targetIP=190.248.95.171,1174,11.868675,8.788227,9.156099,10.657539,9.250563,,,,,
targetIP=92.123.72.7,23058,7.947025,7.101195,7.32653,8.68787,6.943645,,,,,
targetIP=67.129.144.49,1171,7.892738,1.135104,1.075968,1.069056,1.079808,,,,,
targetIP=2.16.103.16,23050,1.86826,1.87868,1.805485,1.77278,1.74495,,,,,
targetIP=23.219.92.67,1179,10.137602,10.235138,10.131458,10.126082,10.169858,,,,,
targetIP=72.247.176.120,23052,17.73438,17.49127,16.243615,19.750385,17.80541,,,,,
targetIP=95.101.182.106,27619,16.630255,16.8204,17.117895,17.908645,17.815325,,,,,
targetIP=95.101.182.153,27613,17.361555,17.924315,17.909715,17.68268,17.651125,,,,,
targetIP=2.16.186.17,29389,18.118375,16.779675,14.674635,15.795535,15.527345,,,,,
targetIP=62.183.170.16,27611,63.786235,52.15934,11.210665,33.077935,378.218855,,,,,
targetIP=88.221.117.9,29388,18.842175,19.736675,19.92142,20.20499,19.474035,,,,,
targetIP=104.98.3.32,31233,7.40339,6.42125,6.716515,6.74113,9.31585,,,,,
targetIP=110.164.253.147,10712,1.49974,1.37072,1.341235,1.34545,1.356885,,,,,
targetIP=88.221.144.145,31235,7.318495,7.09732,8.74431,7.86115,8.04589,,,,,
targetIP=193.212.170.192,3433,24.483845,24.450053,35.64212,25.87239,57.401868,,,,,
targetIP=2.16.63.26,12830,7.12944,6.95102,6.908545,7.09433,7.14463,,,,,
targetIP=212.188.32.152,870,65.813774,67.364366,65.764622,65.666318,65.627918,,,,,
targetIP=193.212.170.192,12834,1.42276,1.255135,1.24668,1.207935,1.26382,,,,,
targetIP=95.101.119.10,1223,1.525249,1.425408,1.292544,1.383936,1.370112,,,,,
targetIP=2.22.8.34,34550,9.28779,8.87597,8.37149,8.81659,8.675005,,,,,
targetIP=85.218.181.178,26627,7.85278,7.92757,7.070125,6.78134,6.89359,,,,,
targetIP=2.21.89.35,26622,11.32788,10.57906,10.565555,10.551015,10.497655,,,,,
targetIP=150.101.106.74,16887,2.708415,2.600515,1.625955,1.376075,2.00927,,,,,
targetIP=23.43.165.18,10884,26.3939,27.56975,23.297715,22.70899,23.725005,,,,,
targetIP=88.134.183.75,10885,11.66394,15.514985,12.18096,12.98037,18.46289,,,,,
targetIP=92.123.72.23,10881,1.71739,1.48474,1.566295,1.468785,1.60626,,,,,
targetIP=173.222.108.50,23122,8.9861,8.291805,8.674485,8.56375,8.62973,,,,,
targetIP=202.128.75.230,22672,4.08253,8.150355,1.7983,5.286545,,,,,,
targetIP=88.221.14.25,13606,0.88997,0.84138,0.903255,0.87859,0.837925,,,,,
targetIP=107.14.43.246,26564,11.0035,10.95113,11.052465,15.17288,14.246545,,,,,
targetIP=23.49.60.176,31918,4.15376,3.688995,3.793715,3.571285,3.838165,,,,,
targetIP=200.123.199.139,21986,52.06226,51.996865,51.962055,51.96311,51.940315,,,,,
targetIP=190.98.163.195,390,6.994945,3.549697,3.613441,3.530497,3.552001,,,,,
targetIP=95.100.252.49,396,25.947653,25.936133,25.933829,25.942277,25.988357,,,,,
targetIP=85.30.162.11,395,7.169282,2.8416,2.69184,3.019008,2.994432,,,,,
targetIP=2.22.8.106,22010,12.751455,13.02248,10.580985,10.8425,10.50605,,,,,
targetIP=72.247.182.17,22017,6.649445,7.16848,6.173735,6.11538,6.024145,,,,,
targetIP=2.21.75.34,22015,13.963375,12.581465,12.863045,12.945705,13.472775,,,,,
targetIP=92.122.48.27,2308,3.520513,3.628801,3.326208,3.744769,3.595776,,,,,
targetIP=104.121.76.18,13618,13.415225,12.38166,11.378215,11.46445,10.565935,,,,,
targetIP=104.121.76.18,2301,14.910723,14.746372,14.721028,14.690308,14.691076,,,,,
targetIP=72.247.184.59,2303,27.148806,14.840835,14.876931,14.826243,14.794755,,,,,
targetIP=2.23.167.43,4726,64.219405,64.087309,64.111885,64.065805,64.052749,,,,,
targetIP=129.143.66.147,2305,5.650946,5.565698,5.481218,19.907332,19.908868,,,,,
targetIP=23.57.76.16,4720,156.436256,155.860255,156.271135,155.890207,155.900959,,,,,
targetIP=217.212.252.81,2307,1.828609,1.788673,1.780993,1.790208,1.777152,,,,,
targetIP=193.212.170.192,2306,1.933056,1.825536,1.81248,1.874688,1.842432,,,,,
targetIP=2.16.100.137,16064,7.505295,7.33165,7.322095,7.378075,7.48173,,,,,
targetIP=104.99.238.114,16065,85.94881,75.193385,79.478185,76.111495,74.26765,,,,,
targetIP=23.55.58.250,32226,2.240645,1.977875,2.165125,2.10654,2.043015,,,,,
targetIP=88.221.144.145,19700,16.23136,14.62358,12.808855,10.817925,11.334605,,,,,
targetIP=23.215.102.106,19701,2.85202,2.89333,2.865155,2.960345,2.866665,,,,,
targetIP=23.55.59.32,32222,2.779015,2.72768,2.71917,2.739515,2.752195,,,,,
targetIP=88.221.144.145,32223,2.787915,2.801375,2.835775,2.80798,2.859985,,,,,
targetIP=23.15.8.144,11281,19.84766,17.98136,17.002595,17.260745,17.64163,,,,,
targetIP=62.253.72.48,11280,14.894385,14.84095,10.86157,11.44383,12.184825,,,,,
