target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=96.17.109.35,97,35.695112,26.711813,40.07348,26.049798,27.141894,,,,,
targetIP=23.64.15.67,30411,10.49452,9.3969,9.79468,10.56462,9.83929,,,,,
targetIP=92.122.48.33,30410,0.669225,0.582495,0.51387,0.522025,0.546715,,,,,
targetIP=92.123.155.32,30413,13.01404,12.891975,12.917695,12.89594,12.96137,,,,,
targetIP=2.20.248.73,30412,18.58243,16.877605,20.817025,19.672855,21.672955,,,,,
targetIP=104.103.72.96,30414,4.022115,3.902215,3.814715,3.76363,3.79303,,,,,
targetIP=2.20.248.73,30419,47.916,36.027975,19.200735,31.31737,24.92741,,,,,
targetIP=23.55.58.250,13050,13.6743,13.634925,13.821295,13.432655,13.59417,,,,,
targetIP=64.124.167.89,13056,6.135015,5.29253,5.008195,5.44491,5.57903,,,,,
targetIP=185.48.240.224,13055,34.83304,34.76839,34.772245,34.764575,34.784255,,,,,
targetIP=88.221.235.147,33507,3.14622,2.99243,3.00076,2.973315,2.992665,,,,,
targetIP=23.65.180.65,18700,13.78344,13.584685,13.57489,13.73863,13.621555,,,,,
targetIP=104.103.72.67,33854,14.96613,14.51556,14.30779,14.681395,14.927635,,,,,
targetIP=77.222.148.97,33855,0.519585,0.46329,0.48014,0.46433,0.523695,,,,,
targetIP=104.72.70.10,33856,17.833225,17.73065,17.79901,17.6999,17.75008,,,,,
targetIP=200.2.124.106,33508,3.6424,0.394685,0.355185,0.374965,0.366985,,,,,
targetIP=179.31.48.25,17826,3.939035,4.91473,6.342395,6.192105,5.196725,,,,,
targetIP=23.64.15.67,17825,7.02574,7.83278,7.058755,7.22123,7.29429,,,,,
targetIP=203.213.73.8,20252,5.039085,4.66281,5.145575,5.243425,4.61818,,,,,
targetIP=104.72.70.10,20253,31.538925,32.01789,30.452635,31.12926,30.60946,,,,,
targetIP=2.22.8.34,20250,9.117635,8.318115,8.367025,8.053365,8.04601,,,,,
targetIP=85.30.162.11,169,17.528836,1.042944,1.042944,1.034496,1.034496,,,,,
targetIP=2.21.242.218,29819,16.30803,15.794635,15.498275,15.55065,15.5,,,,,
targetIP=184.86.250.48,29817,85.03498,84.83224,84.957045,84.829565,85.98112,,,,,
targetIP=2.22.8.106,29764,27.43829,27.249755,27.09549,27.55449,27.626635,,,,,
targetIP=23.217.52.35,29814,21.575075,22.061395,21.638365,24.85865,21.719835,,,,,
targetIP=190.248.95.171,1174,34.709767,10.262018,10.033154,12.28877,10.409474,,,,,
targetIP=92.123.72.7,23058,6.51499,7.78095,9.803255,5.78732,7.83616,,,,,
targetIP=38.29.168.153,1171,8.262914,1.598976,1.658112,1.641984,1.659648,,,,,
targetIP=2.23.167.43,23050,2.384265,2.233095,2.311135,2.231415,2.2239,,,,,
targetIP=65.202.58.10,1179,10.520067,10.463234,10.432514,10.58381,10.501634,,,,,
targetIP=72.247.176.97,23052,19.868605,19.397585,16.18674,15.269835,16.42768,,,,,
targetIP=95.101.182.153,27619,17.27469,17.709655,18.31096,17.018325,17.28539,,,,,
targetIP=95.101.182.153,27613,17.11943,17.225305,17.660195,17.344315,17.667805,,,,,
targetIP=62.183.170.11,27611,9.763075,52.6919,9.43047,8.84869,8.519485,,,,,
targetIP=2.20.248.73,29388,18.788405,20.156125,18.8559,18.685285,18.46576,,,,,
targetIP=23.206.242.42,31233,53.55782,52.9623,53.522215,53.04548,53.52626,,,,,
targetIP=110.164.253.154,10712,1.608075,1.423725,1.394195,1.43178,1.431505,,,,,
targetIP=95.101.182.153,877,7.117826,6.88589,6.680065,6.838273,6.665473,,,,,
targetIP=193.212.170.192,3433,24.143622,27.885318,36.104456,66.55643,38.39156,,,,,
targetIP=2.21.89.35,12832,11.9939,11.494335,10.25934,10.318745,13.01042,,,,,
targetIP=80.239.178.230,12830,6.31162,6.41953,6.261295,6.264515,6.24708,,,,,
targetIP=2.20.188.10,34558,17.83577,17.183475,16.83845,17.03464,16.89079,,,,,
targetIP=212.188.32.152,870,68.297486,66.424334,67.57403,67.279118,68.768271,,,,,
targetIP=193.212.170.199,12834,3.149475,3.121755,3.22574,3.02803,3.05921,,,,,
targetIP=87.245.198.219,1223,7.510274,1.457664,1.456896,1.43616,1.48608,,,,,
targetIP=2.22.8.106,34550,10.26023,9.874565,9.96775,9.998305,9.99912,,,,,
targetIP=23.65.29.18,26627,11.937715,13.085075,11.385885,12.980505,12.88942,,,,,
targetIP=2.21.89.35,26622,12.09461,10.86244,10.845435,10.8525,10.62632,,,,,
targetIP=2.17.201.10,4597,4.356097,4.286209,4.353793,4.015105,4.766977,,,,,
targetIP=23.215.133.9,10884,23.313305,21.38274,18.70383,18.856925,18.77709,,,,,
targetIP=88.134.183.75,10885,15.47561,12.504525,11.653915,10.69908,10.45223,,,,,
targetIP=2.23.167.48,28383,68.93884,68.855825,68.78898,69.040815,69.013945,,,,,
targetIP=202.128.75.230,22672,3.8945,1.762155,2.134285,4.596745,3.234925,,,,,
targetIP=88.221.14.16,13606,0.773765,0.776075,0.74638,0.775925,0.799785,,,,,
targetIP=23.215.100.241,26564,11.25226,6.78807,11.607395,13.004735,10.6705,,,,,
targetIP=96.17.72.26,31918,3.599085,3.661715,3.74149,3.34028,3.31442,,,,,
targetIP=200.123.199.144,21986,64.14459,63.84897,63.936865,63.868625,64.089955,,,,,
targetIP=37.110.193.136,396,8.019458,4.439041,4.383745,4.387585,4.372225,,,,,
targetIP=85.30.162.11,395,7.744514,10.707458,12.380931,4.335361,18.180868,,,,,
targetIP=2.22.8.34,22010,12.90834,12.55718,10.502915,10.651435,10.77781,,,,,
targetIP=72.247.182.17,22017,6.88442,6.19938,7.176065,6.30252,6.807145,,,,,
targetIP=51.52.48.91,22015,13.109675,12.826155,12.59377,12.731545,12.669415,,,,,
targetIP=92.122.48.27,2308,4.451329,3.558913,3.733249,3.532801,3.686401,,,,,
targetIP=104.121.76.18,13618,11.75431,13.095515,10.170795,10.02585,11.123275,,,,,
targetIP=23.215.133.9,31904,35.737015,35.10273,35.757175,35.43059,35.91481,,,,,
targetIP=92.122.122.144,13615,11.446955,10.86419,10.94259,11.04555,11.079425,,,,,
targetIP=2.23.167.43,4726,65.573389,65.303822,65.313038,65.275406,67.00955,,,,,
targetIP=2.16.186.17,2305,6.732289,6.59021,6.584066,6.543362,6.700802,,,,,
targetIP=122.155.236.25,4720,70.517006,70.71131,69.904142,69.85499,69.902606,,,,,
targetIP=2.22.8.34,31902,13.966945,14.797325,13.39643,13.39762,22.826,,,,,
targetIP=193.212.170.199,2306,2.481409,2.314753,2.261761,2.343937,2.247937,,,,,
targetIP=2.16.100.137,16064,7.499765,7.356905,7.41355,7.432245,7.373305,,,,,
targetIP=23.215.102.106,16065,76.39018,82.10468,71.39846,92.07541,81.10993,,,,,
targetIP=23.55.58.250,32226,2.113885,2.15256,2.239095,2.29048,2.13221,,,,,
targetIP=95.101.1.82,19700,12.85342,13.951685,12.732725,11.65189,12.864565,,,,,
targetIP=104.83.4.145,16061,9.13926,11.106345,9.458665,12.314015,8.27343,,,,,
targetIP=23.55.59.32,32222,2.80354,2.733,2.74983,2.734455,2.77618,,,,,
targetIP=88.221.144.145,32223,2.793385,2.71086,2.736915,2.8231,2.784775,,,,,
targetIP=107.14.40.208,11281,19.002315,18.625165,18.507065,18.092485,17.786665,,,,,
targetIP=23.55.58.250,32228,15.241395,14.65316,15.17529,14.81876,14.752065,,,,,
targetIP=202.224.62.202,11287,11.63023,7.76669,7.59706,7.65603,7.934395,,,,,
targetIP=184.150.163.8,17620,48.059385,47.95517,47.90855,47.942995,47.906895,,,,,
targetIP=2.23.167.43,17625,1.944325,1.719035,1.711415,1.87787,1.92753,,,,,
targetIP=89.218.19.50,17628,39.64587,39.396865,39.426745,38.77492,39.619725,,,,,
targetIP=193.225.13.232,3742,7.547137,3.266305,3.290881,3.307777,3.312385,,,,,
targetIP=104.72.70.10,3741,16.535812,16.123396,16.852228,16.508164,16.097284,,,,,
targetIP=23.32.241.176,13531,1.43852,1.3393,1.34784,1.33324,1.376275,,,,,
targetIP=95.101.182.153,4621,6.382082,6.258433,6.231553,6.050305,26.631941,,,,,
targetIP=92.122.122.144,4622,9.004034,8.683778,19.318276,22.010884,8.620802,,,,,
targetIP=23.49.60.152,13536,0.432295,0.35469,0.36512,0.35236,0.350935,,,,,
targetIP=2.21.89.32,4628,2.090497,1.940736,1.955328,1.951488,1.92768,,,,,
targetIP=95.100.97.41,4629,10.21133,10.475523,10.748163,10.224386,10.803459,,,,,
targetIP=202.124.107.200,11753,20.156315,19.92501,19.870555,20.003785,19.86968,,,,,
targetIP=104.70.178.57,11911,111.087615,132.22516,125.48528,125.172885,116.23193,,,,,
targetIP=217.212.252.81,11758,6.71968,6.23314,6.30399,6.21381,6.46674,,,,,
targetIP=95.100.252.49,19560,10.36805,10.24009,10.35071,10.143845,10.27214,,,,,
targetIP=2.16.188.25,28708,12.500795,12.34181,12.503945,12.157115,12.172635,,,,,
targetIP=80.239.247.76,19563,5.151045,5.67327,5.06151,4.886505,5.357235,,,,,
targetIP=92.122.122.144,16395,5.963045,5.87254,5.851395,5.78912,5.936685,,,,,
targetIP=23.55.58.250,19569,24.51559,23.759385,20.516825,22.860625,22.94638,,,,,
targetIP=58.28.25.8,11016,20.33034,23.66449,22.609065,21.6752,20.808005,,,,,
targetIP=23.10.249.176,20731,7.67187,7.712175,7.453865,7.727805,7.441495,,,,,
targetIP=213.153.34.10,21475,9.308945,9.874715,8.636325,8.65504,9.718595,,,,,
targetIP=23.59.154.17,20733,4.931215,4.568085,4.705695,4.86226,4.59951,,,,,
targetIP=2.23.167.43,20884,26.39019,26.266445,26.316305,26.290155,26.263635,,,,,
targetIP=201.48.38.146,20883,13.937105,13.21178,13.58061,13.614565,13.385835,,,,,
targetIP=184.51.114.74,20734,11.459685,11.286635,11.12811,11.219395,11.14457,,,,,
targetIP=46.238.98.242,20738,7.089155,6.752165,5.51039,9.04397,6.04031,,,,,
targetIP=23.74.28.51,19275,13.039035,16.673,11.63772,11.536395,12.69398,,,,,
targetIP=65.175.141.200,13288,12.63671,12.733295,12.696845,12.981225,11.016565,,,,,
targetIP=87.245.196.105,176,48.009226,47.683594,47.533834,47.543818,47.573002,,,,,
targetIP=23.6.112.113,175,2.364673,2.366209,2.363905,2.351617,2.340097,,,,,
targetIP=88.221.14.25,13284,11.43643,10.071485,9.90964,9.012845,10.4129,,,,,
targetIP=2.16.10.115,173,51.088138,47.198986,50.994442,50.870026,51.01057,,,,,
