target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=107.14.40.202,14629,33.743105,33.690615,33.69442,33.67145,33.712075,,,,,
targetIP=128.139.199.8,99,7.55789,1.357056,1.161984,1.269504,1.142016,,,,,
targetIP=210.7.43.169,93,23.00698,15.250948,15.189508,15.199492,15.216388,,,,,
targetIP=23.54.158.25,92,10.73741,10.669826,10.732802,10.617602,10.556162,,,,,
targetIP=23.62.99.43,94,7.723778,7.113985,7.208449,6.867457,6.653953,,,,,
targetIP=184.25.204.114,97,36.993032,35.901703,36.261895,36.098311,35.512327,,,,,
targetIP=173.223.106.11,30411,40.37218,40.76709,40.587725,40.284985,39.938675,,,,,
targetIP=2.17.120.162,30410,8.46768,8.309905,8.28389,8.246505,8.259455,,,,,
targetIP=88.221.117.18,30413,23.85948,24.01714,23.81183,23.94458,23.94373,,,,,
targetIP=88.221.117.18,30412,18.460735,20.47532,18.193165,17.34567,18.204405,,,,,
targetIP=104.103.72.209,30414,4.10659,3.957075,3.79507,3.89344,3.845965,,,,,
targetIP=88.221.117.18,30419,56.60634,17.987105,32.85895,24.9829,21.645495,,,,,
targetIP=88.221.117.18,13050,23.636225,23.05869,23.26445,23.92416,23.51793,,,,,
targetIP=104.100.93.8,13056,80.429005,77.65326,78.121525,77.25755,77.39386,,,,,
targetIP=173.223.106.11,13055,73.28884,73.24679,73.25529,73.258645,73.24222,,,,,
targetIP=92.122.213.248,33507,9.88932,9.81604,9.812585,9.819445,9.803845,,,,,
targetIP=200.143.247.11,18700,25.52334,25.465565,25.82655,25.433105,27.129045,,,,,
targetIP=104.103.72.209,33854,15.483015,14.82748,15.29236,14.61205,14.947215,,,,,
targetIP=77.222.148.113,33855,0.774795,0.511545,0.493245,0.493785,0.513375,,,,,
targetIP=184.25.56.90,33500,4.427435,4.325605,4.337715,4.361715,4.33454,,,,,
targetIP=186.211.197.16,33508,172.58892,172.29097,172.43213,172.3761,172.37255,,,,,
targetIP=200.40.28.27,17826,5.856055,5.9718,5.180505,5.681815,5.1897,,,,,
targetIP=23.219.91.17,17825,7.05421,6.571435,7.31625,6.985665,6.633445,,,,,
targetIP=104.116.243.160,20252,298.273815,297.902615,298.090345,298.04919,297.95564,,,,,
targetIP=150.101.195.201,20253,30.849435,70.07463,114.604515,95.62632,70.415505,,,,,
targetIP=2.16.182.122,20250,8.81006,8.445845,8.306415,8.24172,8.399315,,,,,
targetIP=95.101.72.183,20257,3.700215,4.09547,3.467615,5.154365,3.594455,,,,,
targetIP=85.30.162.10,169,18.071044,1.832448,1.830144,1.151232,1.154304,,,,,
targetIP=89.27.241.33,29819,20.259575,19.777325,19.67462,19.695225,19.678515,,,,,
targetIP=23.49.60.65,29817,86.6243,85.398655,93.41454,98.65241,89.455545,,,,,
targetIP=92.122.213.231,29764,35.521075,35.05466,34.703355,34.584175,35.45309,,,,,
targetIP=23.52.171.73,29814,78.250905,77.91284,77.93732,78.02171,78.00716,,,,,
targetIP=190.248.95.168,1174,48.450826,78.789136,10.588418,20.348165,9.913346,,,,,
targetIP=88.221.89.27,23058,6.57838,6.007465,6.53072,5.56293,9.077755,,,,,
targetIP=72.246.56.66,1171,7.132418,0.967681,0.973825,1.072897,1.075969,,,,,
targetIP=188.43.76.72,23050,2.122675,1.90009,2.09421,2.434045,2.02495,,,,,
targetIP=107.14.40.202,1179,19.682308,19.719172,19.807492,19.7929,19.794436,,,,,
targetIP=173.223.11.32,27619,16.94335,17.241705,17.777275,16.13945,17.28661,,,,,
targetIP=95.100.252.56,27613,17.950595,18.158735,17.648535,18.209255,17.581605,,,,,
targetIP=2.16.186.48,29389,19.437435,17.78806,16.844515,16.92411,17.313615,,,,,
targetIP=62.183.170.82,27611,11.74905,10.384225,11.28986,8.581525,9.414145,,,,,
targetIP=88.221.117.18,29388,19.88754,18.99062,19.078345,19.816195,18.60942,,,,,
targetIP=23.59.182.50,31233,62.156945,61.99095,62.464905,62.431865,62.26454,,,,,
targetIP=2.20.242.11,31235,28.10867,26.299415,25.93477,25.68114,26.596085,,,,,
targetIP=193.212.170.176,3433,27.64647,18.336772,29.46279,58.708236,69.838094,,,,,
targetIP=91.223.19.241,12832,12.408125,11.224905,14.509665,11.97139,15.613485,,,,,
targetIP=23.65.29.73,12830,6.98681,6.953555,6.83341,6.83707,6.944665,,,,,
targetIP=89.27.241.33,34558,16.20799,15.957685,15.655395,15.70186,16.091225,,,,,
targetIP=217.10.155.166,4521,7.524865,1.753345,1.701121,1.704193,6.729218,,,,,
targetIP=193.212.170.168,12834,1.86713,1.751295,1.96675,1.81619,1.640645,,,,,
targetIP=178.18.229.177,1223,36.576776,10.738178,1.679616,1.851648,75.702543,,,,,
targetIP=2.16.182.122,34550,11.96146,9.24339,10.200135,9.587585,9.83119,,,,,
targetIP=2.20.242.11,26627,40.995425,40.111265,40.940905,38.977845,38.937645,,,,,
targetIP=212.30.134.213,26622,32.983965,32.89193,32.685885,32.799615,32.789155,,,,,
targetIP=88.221.235.121,22414,21.317935,20.67083,20.069955,19.872655,20.240015,,,,,
targetIP=107.14.40.202,10884,24.025525,22.32673,20.74218,19.428975,20.870635,,,,,
targetIP=88.134.183.17,10885,11.77313,17.68517,11.660815,10.920195,10.169185,,,,,
targetIP=88.221.117.18,10881,21.855435,21.65453,21.757115,21.559795,21.64579,,,,,
targetIP=2.20.242.11,23122,8.488635,7.647775,7.49437,7.587855,8.216865,,,,,
targetIP=184.25.56.83,22672,122.72918,122.670605,123.116625,122.26201,121.957125,,,,,
targetIP=95.100.252.56,13606,1.18855,1.188055,1.178695,1.134575,1.138675,,,,,
targetIP=184.28.188.195,26564,10.85969,11.06869,10.606835,10.512165,10.355035,,,,,
targetIP=23.52.171.73,31918,3.65896,3.364425,3.557045,3.945115,3.62287,,,,,
targetIP=186.211.197.40,21986,106.618485,106.38233,106.3521,105.532975,106.31118,,,,,
targetIP=190.98.163.162,390,104.683029,104.94799,103.582485,103.639317,103.597077,,,,,
targetIP=37.110.193.138,396,6.924289,4.529665,3.441409,3.448321,3.454465,,,,,
targetIP=85.30.162.10,395,8.530178,2.995969,4.414465,3.858433,2.671873,,,,,
targetIP=2.17.120.162,22010,13.4111,12.606215,10.83413,10.84031,10.3959,,,,,
targetIP=94.246.183.35,22017,6.667905,5.834215,6.47092,6.446855,5.88188,,,,,
targetIP=51.52.48.81,22015,13.67972,12.239765,12.38819,12.340065,12.91664,,,,,
targetIP=92.122.48.42,2308,4.046593,3.413761,3.320833,3.300865,3.506689,,,,,
targetIP=23.219.91.17,31908,10.6963,9.88096,10.964385,9.751325,9.8044,,,,,
targetIP=2.20.242.11,2301,33.215239,32.213766,30.981126,30.585606,24.663557,,,,,
targetIP=2.20.242.11,13615,29.00447,28.21686,28.384915,28.35805,28.33076,,,,,
targetIP=72.247.184.56,2303,15.050499,14.765571,15.494403,14.882307,14.866947,,,,,
targetIP=104.121.76.67,2302,1.343232,1.320192,1.34784,1.29792,1.366272,,,,,
targetIP=129.143.66.146,2305,7.71917,5.331457,5.332225,5.359105,5.337601,,,,,
targetIP=184.51.15.94,4720,90.81909,92.818963,90.61941,91.202322,91.703058,,,,,
targetIP=88.221.117.18,31902,19.510025,19.008825,17.738385,17.68686,22.462455,,,,,
targetIP=193.212.170.168,2306,2.395392,2.353921,2.294785,2.243329,2.239489,,,,,
targetIP=23.52.171.73,19704,2.137115,2.059175,2.314405,2.40501,1.978065,,,,,
targetIP=23.3.105.121,16065,None,107.434175,100.670665,97.16531,96.797605,,,,,
targetIP=92.122.192.24,32226,2.428275,2.564795,2.562695,2.68109,2.604425,,,,,
targetIP=104.93.82.177,19700,15.04407,14.26692,12.68321,16.61612,13.17393,,,,,
targetIP=104.83.4.58,16061,6.89158,7.202045,7.122625,8.005345,6.71603,,,,,
targetIP=88.221.117.18,32222,12.298795,12.115275,12.215815,12.11987,12.18457,,,,,
targetIP=88.221.254.200,32223,2.5799,2.47554,2.50356,2.673615,2.564285,,,,,
targetIP=107.14.40.217,11281,19.54224,18.614005,17.768435,18.251595,17.86187,,,,,
targetIP=178.18.231.91,11282,1.0456,0.921215,0.98236,0.864045,0.916995,,,,,
targetIP=195.138.255.19,11285,1.120825,1.03511,4.879555,0.82811,0.754835,,,,,
targetIP=202.224.62.209,11287,9.998385,6.930515,6.87494,6.763025,8.73697,,,,,
targetIP=107.14.40.202,17620,28.839645,28.83785,28.79193,28.8119,28.788545,,,,,
targetIP=212.30.134.213,17625,1.246435,1.29219,1.11357,1.10831,1.14224,,,,,
targetIP=89.218.19.59,17628,39.86683,39.521255,39.39607,39.523205,39.56491,,,,,
targetIP=193.225.13.230,3742,7.662337,3.343873,3.359233,3.370753,3.348481,,,,,
targetIP=150.101.195.201,3741,34.191366,16.45594,17.230084,16.535044,17.07802,,,,,
targetIP=72.246.189.24,13531,1.53138,1.39518,1.36863,1.366885,1.363425,,,,,
targetIP=2.16.117.72,4621,6.210818,5.971201,6.144001,6.118657,6.020353,,,,,
targetIP=217.212.252.193,13533,38.56435,38.46876,38.43349,38.399845,38.4248,,,,,
targetIP=23.52.171.73,13536,0.451905,0.372855,0.37712,0.36599,0.3916,,,,,
targetIP=178.18.231.91,4628,56.506379,2.66112,2.947585,2.179584,2.120449,,,,,
