target,prb_id,dst_addr,result1,result2,result3,,,
targetIP=a943.x.a.yimg.com,3513,95.100.156.48,15.628035,15.669508,15.544324,,,
targetIP=a943.x.a.yimg.com,3517,206.40.110.247,1.791744,1.253376,1.39776,,,
targetIP=a943.x.a.yimg.com,3515,92.122.213.248,15.714819,15.755524,15.739396,,,
targetIP=a943.x.a.yimg.com,2685,104.70.178.113,47.311113,44.196105,44.653065,,,
targetIP=a943.x.a.yimg.com,2681,95.100.156.48,12.90701,12.765699,12.429315,,,
targetIP=a943.x.a.yimg.com,2682,2.21.240.107,5.344513,5.095681,5.267713,,,
targetIP=a943.x.a.yimg.com,2683,173.223.106.11,16.611843,15.113475,15.598851,,,
targetIP=a943.x.a.yimg.com,14626,124.155.223.9,2.49933,2.7448,2.490995,,,
targetIP=a943.x.a.yimg.com,14623,66.110.36.193,180.848315,180.354805,180.80206,,,
targetIP=a943.x.a.yimg.com,14629,207.115.101.10,0.60227,0.506475,0.487875,,,
targetIP=a943.x.a.yimg.com,99,128.139.199.7,1.906944,1.110528,1.106688,,,
targetIP=a943.x.a.yimg.com,93,210.7.43.169,15.552002,15.385347,15.482115,,,
targetIP=a943.x.a.yimg.com,92,95.101.1.106,3.170304,3.163393,2.979073,,,
targetIP=a943.x.a.yimg.com,94,104.93.82.177,24.053765,7.406594,7.11629,,,
targetIP=a943.x.a.yimg.com,97,23.47.144.83,38.684167,39.342345,108.002326,,,
targetIP=a943.x.a.yimg.com,30411,23.219.91.17,10.081265,10.81886,9.956305,,,
targetIP=a943.x.a.yimg.com,30410,23.219.91.66,0.697545,0.57593,0.520485,,,
targetIP=a943.x.a.yimg.com,30413,80.239.200.203,42.9293,42.857635,43.841855,,,
targetIP=a943.x.a.yimg.com,30412,88.221.117.18,18.442325,18.408225,22.51292,,,
targetIP=a943.x.a.yimg.com,30414,104.103.72.176,4.31526,3.775965,3.821655,,,
targetIP=a943.x.a.yimg.com,30419,88.221.117.18,19.29816,18.274155,25.00559,,,
targetIP=a943.x.a.yimg.com,13050,2.17.120.154,24.941595,24.394905,25.05063,,,
targetIP=a943.x.a.yimg.com,13056,104.100.93.9,482.797335,474.372135,431.65739,,,
targetIP=a943.x.a.yimg.com,13055,88.221.117.18,67.19425,67.131015,67.74379,,,
targetIP=a943.x.a.yimg.com,33507,92.122.213.231,9.88949,9.87545,9.86535,,,
targetIP=a943.x.a.yimg.com,18700,200.143.247.42,23.123235,22.992175,23.041865,,,
targetIP=a943.x.a.yimg.com,33502,173.197.194.74,39.68141,39.63041,39.56865,,,
targetIP=a943.x.a.yimg.com,33855,80.239.178.49,51.20506,51.25425,50.188855,,,
targetIP=a943.x.a.yimg.com,33500,184.25.56.83,4.493615,4.40289,4.38456,,,
targetIP=a943.x.a.yimg.com,33508,190.94.188.25,136.060095,139.27225,135.93057,,,
targetIP=a943.x.a.yimg.com,17826,200.40.28.26,5.439115,3.896005,4.74476,,,
targetIP=a943.x.a.yimg.com,17825,23.219.91.66,7.04971,7.859385,7.38822,,,
targetIP=a943.x.a.yimg.com,17822,23.204.103.50,33.1681,32.58365,30.69723,,,
targetIP=a943.x.a.yimg.com,20252,104.116.243.168,301.387565,301.32802,301.29527,,,
targetIP=a943.x.a.yimg.com,20253,150.101.195.211,31.622035,31.652015,30.70357,,,
targetIP=a943.x.a.yimg.com,20250,2.17.120.162,9.018285,8.6035,8.708735,,,
targetIP=a943.x.a.yimg.com,20257,95.101.72.176,3.398065,3.369545,3.692425,,,
targetIP=a943.x.a.yimg.com,169,85.30.162.16,1.20576,1.280256,1.083648,,,
targetIP=a943.x.a.yimg.com,29817,173.222.148.34,68.445365,68.23695,68.302375,,,
targetIP=a943.x.a.yimg.com,29764,92.122.213.231,27.957255,27.592915,27.00514,,,
targetIP=a943.x.a.yimg.com,29814,23.52.171.90,87.77616,87.807965,87.750805,,,
targetIP=a943.x.a.yimg.com,19331,2.20.242.11,22.068055,16.70633,16.19634,,,
targetIP=a943.x.a.yimg.com,1174,190.248.95.171,10.38413,10.171394,8.44877,,,
targetIP=a943.x.a.yimg.com,29385,104.121.76.59,8.466025,8.57325,10.02827,,,
targetIP=a943.x.a.yimg.com,1171,209.170.111.10,2.02368,1.75872,1.905408,,,
targetIP=a943.x.a.yimg.com,23050,188.43.76.65,179.377285,169.881485,174.75648,,,
targetIP=a943.x.a.yimg.com,1179,65.202.58.71,11.925506,11.652099,11.347971,,,
targetIP=a943.x.a.yimg.com,23052,62.252.168.154,17.12934,15.236845,16.010355,,,
targetIP=a943.x.a.yimg.com,27619,173.223.11.50,16.72095,16.912755,16.94098,,,
targetIP=a943.x.a.yimg.com,27613,2.16.117.72,17.487385,17.643385,17.56381,,,
targetIP=a943.x.a.yimg.com,29389,2.16.186.48,20.60288,20.31755,23.727555,,,
targetIP=a943.x.a.yimg.com,27611,62.183.170.82,37.063465,8.110445,9.50384,,,
targetIP=a943.x.a.yimg.com,29924,2.20.242.18,30.57832,29.67609,30.37729,,,
targetIP=a943.x.a.yimg.com,31233,23.52.171.73,101.169285,101.175375,101.97529,,,
targetIP=a943.x.a.yimg.com,31235,2.20.242.11,31.639845,33.47032,32.50421,,,
targetIP=a943.x.a.yimg.com,22950,95.101.90.152,8.14101,6.99142,7.6228,,,
targetIP=a943.x.a.yimg.com,12832,91.223.19.241,12.54026,11.37646,13.368265,,,
targetIP=a943.x.a.yimg.com,12830,2.21.240.195,14.243905,13.687285,13.902465,,,
targetIP=a943.x.a.yimg.com,34558,89.27.241.18,14.35846,14.144745,21.116225,,,
targetIP=a943.x.a.yimg.com,870,212.188.32.146,11.452419,11.307266,11.225859,,,
targetIP=a943.x.a.yimg.com,12834,193.212.170.176,2.71491,4.77351,2.679615,,,
targetIP=a943.x.a.yimg.com,627,195.249.209.138,3.920641,3.790849,3.961345,,,
targetIP=a943.x.a.yimg.com,34550,2.17.120.154,9.90789,9.054835,8.961995,,,
targetIP=a943.x.a.yimg.com,26627,2.20.242.11,39.72871,39.89658,38.86592,,,
targetIP=a943.x.a.yimg.com,26622,91.223.19.235,13.303115,12.37078,12.345295,,,
targetIP=a943.x.a.yimg.com,4597,83.243.11.169,9.023233,9.113091,8.964099,,,
targetIP=a943.x.a.yimg.com,10884,107.14.40.217,23.48713,21.444025,20.44237,,,
targetIP=a943.x.a.yimg.com,10885,88.134.183.17,11.704135,10.90613,11.75543,,,
targetIP=a943.x.a.yimg.com,22675,104.80.88.10,1.327915,1.278035,1.260715,,,
targetIP=a943.x.a.yimg.com,22672,23.3.105.121,142.15309,140.605705,140.44698,,,
targetIP=a943.x.a.yimg.com,22671,203.184.9.11,1.52174,1.1655,1.206865,,,
targetIP=a943.x.a.yimg.com,26564,23.215.100.229,10.992855,10.78263,10.338455,,,
targetIP=a943.x.a.yimg.com,2315,88.221.117.18,12.78413,13.340162,12.489218,,,
targetIP=a943.x.a.yimg.com,390,190.98.163.162,103.585557,103.665429,103.447317,,,
targetIP=a943.x.a.yimg.com,396,37.110.193.160,78.671632,39.998984,23.086853,,,
targetIP=a943.x.a.yimg.com,395,85.30.162.10,2.867712,2.721025,2.793985,,,
targetIP=a943.x.a.yimg.com,399,190.46.255.19,29.212421,18.845188,21.689861,,,
targetIP=a943.x.a.yimg.com,22017,94.246.183.35,6.82787,6.19639,6.357695,,,
targetIP=a943.x.a.yimg.com,22015,51.52.48.73,13.39895,12.845,12.381735,,,
targetIP=a943.x.a.yimg.com,2308,92.122.48.42,4.363776,9.771266,4.065025,,,
targetIP=a943.x.a.yimg.com,13618,88.134.181.10,17.274325,17.422005,14.99925,,,
targetIP=a943.x.a.yimg.com,13614,23.59.191.161,19.10555,19.038785,19.09392,,,
targetIP=a943.x.a.yimg.com,13615,2.20.242.11,27.025625,27.290845,26.98832,,,
targetIP=a943.x.a.yimg.com,2303,95.101.72.57,15.479043,15.177987,15.204099,,,
targetIP=a943.x.a.yimg.com,4726,88.221.132.10,49.342474,49.147402,49.129738,,,
targetIP=a943.x.a.yimg.com,2305,129.143.66.155,5.607936,5.406721,5.414401,,,
targetIP=a943.x.a.yimg.com,4720,23.2.16.203,66.196238,65.985038,66.216973,,,
targetIP=a943.x.a.yimg.com,13612,173.223.106.8,15.78498,12.649805,12.60005,,,
targetIP=a943.x.a.yimg.com,4722,210.149.5.10,40.30388,25.317893,53.107979,,,
targetIP=a943.x.a.yimg.com,19704,23.52.171.90,2.25522,2.13782,2.37544,,,
targetIP=a943.x.a.yimg.com,16065,66.61.173.8,67.89492,73.52605,72.342015,,,
targetIP=a943.x.a.yimg.com,32226,92.122.192.33,2.566845,2.493265,2.6126,,,
targetIP=a943.x.a.yimg.com,19700,2.20.242.18,116.711465,99.308785,110.62628,,,
targetIP=a943.x.a.yimg.com,19701,23.215.102.136,3.00069,2.855625,2.81171,,,
targetIP=a943.x.a.yimg.com,19702,104.103.72.176,10.215605,11.390585,10.13101,,,
targetIP=a943.x.a.yimg.com,32223,88.221.254.217,2.70725,2.618445,2.583495,,,
targetIP=a943.x.a.yimg.com,11281,23.15.8.155,19.35573,18.54208,18.024325,,,
targetIP=a943.x.a.yimg.com,11280,213.104.143.152,18.200805,17.40332,22.569865,,,
targetIP=a943.x.a.yimg.com,11282,178.18.231.91,1.09167,0.98761,0.983395,,,
targetIP=a943.x.a.yimg.com,11285,195.138.255.19,0.7694,0.878865,0.729135,,,
targetIP=a943.x.a.yimg.com,11287,202.224.62.210,7.36826,6.858095,6.83348,,,
targetIP=a943.x.a.yimg.com,17620,107.14.40.217,28.57621,28.59829,28.50565,,,
targetIP=a943.x.a.yimg.com,17625,212.30.134.213,5.03341,5.001565,2.631485,,,
targetIP=a943.x.a.yimg.com,17628,89.218.19.59,39.619575,39.237595,39.689425,,,
targetIP=a943.x.a.yimg.com,3742,193.225.13.232,3.434496,23.487749,3.336961,,,
targetIP=a943.x.a.yimg.com,3741,59.167.18.10,20.458757,20.020228,20.227588,,,
targetIP=a943.x.a.yimg.com,13531,72.246.150.121,8.29193,8.21445,8.219875,,,
targetIP=a943.x.a.yimg.com,4621,184.150.154.9,5.409792,5.250817,5.881346,,,
targetIP=a943.x.a.yimg.com,4622,62.4.254.164,11.646723,30.31143,10.897154,,,
targetIP=a943.x.a.yimg.com,13536,23.52.171.90,0.437905,0.37624,0.36019,,,
targetIP=a943.x.a.yimg.com,4628,178.18.231.97,2.53056,2.158848,2.120449,,,
targetIP=a943.x.a.yimg.com,4629,195.10.18.10,12.04685,13.39085,11.89709,,,
targetIP=a943.x.a.yimg.com,11753,202.124.107.136,30.19512,30.24829,30.33809,,,
targetIP=a943.x.a.yimg.com,11758,217.212.252.193,9.145265,7.17129,6.809755,,,
targetIP=a943.x.a.yimg.com,19560,92.123.182.33,31.42404,32.220805,31.786835,,,
targetIP=a943.x.a.yimg.com,14534,2.21.67.81,21.50028,21.34938,21.40482,,,
targetIP=a943.x.a.yimg.com,19563,104.103.72.209,5.972275,5.718815,4.43753,,,
targetIP=a943.x.a.yimg.com,16395,62.4.254.158,5.68384,5.53132,5.049115,,,
targetIP=a943.x.a.yimg.com,10462,65.202.58.71,17.437185,17.73664,18.27217,,,
targetIP=a943.x.a.yimg.com,11016,58.28.25.8,20.81466,19.787615,21.843615,,,
targetIP=a943.x.a.yimg.com,20731,80.239.148.9,7.127285,6.832505,7.189825,,,
targetIP=a943.x.a.yimg.com,21475,213.153.34.16,9.74011,9.746815,8.720595,,,
targetIP=a943.x.a.yimg.com,20733,104.80.88.9,7.706275,7.78184,7.613245,,,
targetIP=a943.x.a.yimg.com,20884,88.221.132.41,3.51352,3.42062,3.519225,,,
targetIP=a943.x.a.yimg.com,20883,186.148.33.137,171.22616,171.0236,171.124305,,,
targetIP=a943.x.a.yimg.com,20734,23.194.112.59,12.552665,12.30279,12.22219,,,
targetIP=a943.x.a.yimg.com,20738,217.212.252.193,34.72639,34.54284,34.79471,,,
targetIP=a943.x.a.yimg.com,33552,82.216.34.59,8.918225,7.94298,8.694535,,,
targetIP=a943.x.a.yimg.com,13288,65.175.141.202,11.89691,11.298405,13.242765,,,
targetIP=a943.x.a.yimg.com,176,87.245.196.80,47.266569,47.046154,48.347914,,,
targetIP=a943.x.a.yimg.com,175,87.244.200.8,1.419265,2.471425,1.855488,,,
targetIP=a943.x.a.yimg.com,13284,95.100.252.56,10.29636,10.089205,10.123095,,,
targetIP=a943.x.a.yimg.com,13283,128.177.98.49,4.682735,12.171565,8.66246,,,
targetIP=a943.x.a.yimg.com,13282,95.101.1.106,4.44844,12.93912,3.950245,,,
targetIP=a943.x.a.yimg.com,13280,92.122.122.147,10.28848,9.58288,10.732155,,,
targetIP=a943.x.a.yimg.com,34424,80.93.16.208,2.164115,2.13011,2.19722,,,
targetIP=a943.x.a.yimg.com,11992,80.68.78.46,4.02376,3.23288,3.48474,,,
targetIP=a943.x.a.yimg.com,14166,23.204.103.80,16.044365,16.262635,15.09366,,,
targetIP=a943.x.a.yimg.com,21282,23.219.91.17,4.01,3.789705,3.77862,,,
targetIP=a943.x.a.yimg.com,21280,2.17.120.154,19.21819,15.51286,13.949895,,,
targetIP=a943.x.a.yimg.com,21934,173.222.211.9,7.23421,7.054175,7.061645,,,
targetIP=a943.x.a.yimg.com,21284,193.229.113.16,6.80435,6.806675,6.800525,,,
targetIP=a943.x.a.yimg.com,21937,88.221.117.18,13.67829,13.139105,13.32126,,,
targetIP=a943.x.a.yimg.com,32445,2.18.213.43,12.56506,12.46138,12.52719,,,
targetIP=a943.x.a.yimg.com,10390,2.20.242.11,124.13471,123.818125,124.09366,,,
targetIP=a943.x.a.yimg.com,10394,72.195.165.152,116.487675,23.421215,,,,
targetIP=a943.x.a.yimg.com,29653,88.134.182.193,18.397385,14.95784,15.533505,,,
targetIP=a943.x.a.yimg.com,16933,128.139.199.7,2.02674,1.969785,1.990295,,,
targetIP=a943.x.a.yimg.com,16930,88.221.89.27,6.600575,6.64114,6.774685,,,
targetIP=a943.x.a.yimg.com,17885,95.100.252.56,11.166845,11.31977,10.21201,,,
targetIP=a943.x.a.yimg.com,35112,88.221.144.130,10.005945,9.05639,9.231955,,,
targetIP=a943.x.a.yimg.com,12226,184.25.56.83,26.18604,26.09232,25.724105,,,
targetIP=a943.x.a.yimg.com,6216,23.50.225.11,43.718431,43.750179,43.682752,,,
targetIP=a943.x.a.yimg.com,6215,184.50.27.9,0.931896,1.008865,0.919756,,,
targetIP=a943.x.a.yimg.com,12225,2.17.120.154,8.156005,8.26792,8.05314,,,
targetIP=a943.x.a.yimg.com,6213,88.221.117.18,0.498186,0.390508,0.371632,,,
targetIP=a943.x.a.yimg.com,12223,104.93.82.185,5.591525,5.479875,5.507175,,,
targetIP=a943.x.a.yimg.com,6211,217.212.252.195,59.895884,62.454927,61.595432,,,
targetIP=a943.x.a.yimg.com,6210,95.100.156.66,16.103957,16.061589,16.091335,,,
targetIP=a943.x.a.yimg.com,6219,2.17.120.162,6.91817,6.916045,6.985631,,,
targetIP=a943.x.a.yimg.com,6218,23.62.231.41,73.351043,73.116661,73.259898,,,
targetIP=a943.x.a.yimg.com,15708,72.247.182.42,44.813535,42.43295,43.368775,,,
targetIP=a943.x.a.yimg.com,13542,193.170.140.79,7.4781,6.600835,7.484755,,,
targetIP=a943.x.a.yimg.com,15701,221.110.152.48,25.824565,24.84867,25.28001,,,
targetIP=a943.x.a.yimg.com,277,2.16.186.48,10.684418,9.792002,10.264322,,,
targetIP=a943.x.a.yimg.com,29370,49.231.112.19,23.41134,23.00116,22.83401,,,
targetIP=a943.x.a.yimg.com,29376,2.16.186.48,10.707265,9.637035,9.708395,,,
targetIP=a943.x.a.yimg.com,29377,2.20.242.11,41.71811,46.0255,42.234295,,,
targetIP=a943.x.a.yimg.com,10576,107.14.40.202,36.194915,36.333685,34.51074,,,
targetIP=a943.x.a.yimg.com,29379,209.148.192.42,14.68314,14.315385,21.079725,,,
targetIP=a943.x.a.yimg.com,24147,2.20.242.11,38.96484,38.819555,38.824205,,,
targetIP=a943.x.a.yimg.com,21424,129.143.66.155,1.43031,1.32454,1.302125,,,
targetIP=a943.x.a.yimg.com,24142,193.247.167.99,0.6019,0.577435,0.54096,,,
targetIP=a943.x.a.yimg.com,21423,2.17.120.162,41.389105,40.60729,40.363255,,,
targetIP=a943.x.a.yimg.com,32467,88.221.117.18,22.089895,21.48232,21.54311,,,
targetIP=a943.x.a.yimg.com,30628,82.216.34.59,7.70772,18.48425,73.175495,,,
targetIP=a943.x.a.yimg.com,33759,64.126.131.3,6.869395,6.15395,6.453665,,,
targetIP=a943.x.a.yimg.com,30621,88.221.144.130,14.70656,13.381745,16.52545,,,
targetIP=a943.x.a.yimg.com,30626,2.17.120.154,29.997015,23.27227,32.45948,,,
targetIP=a943.x.a.yimg.com,33757,88.221.117.40,118.677455,118.47882,117.301395,,,
